User: USER,,,,
Path: C:\Program Files (x86)\BMG\Omega\User\Data\,,,,
Test ID: 153,,,,
Test Name: CDI,,,,
Date: 01/04/2021,,,,
Time: 16:48:16,,,,
Time resolved fluorescence (TRF),,,,
,,,,
,,,,
"Well
Row","Well
Col",Group,Content, Raw Data (TREX/615-10)
A,1,A,Blank B,4
B,1,A,Sample X1,10
C,1,A,Sample X1,14
D,1,A,Sample X1,5
E,1,B,Sample X1,17
F,1,B,Sample X1,15
G,1,B,Sample X1,27
H,1,A,Blank B,0
A,2,A,Blank B,4
B,2,A,Sample X2,9
C,2,A,Sample X2,4
D,2,A,Sample X2,6
E,2,B,Sample X2,10
F,2,B,Sample X2,10
G,2,B,Sample X2,16
H,2,A,Blank B,2
A,3,A,Blank B,4
B,3,A,Sample X3,8
C,3,A,Sample X3,9
D,3,A,Sample X3,5
E,3,B,Sample X3,7
F,3,B,Sample X3,9
G,3,B,Sample X3,20
H,3,A,Blank B,2
A,4,A,Blank B,7
B,4,A,Sample X4,6
C,4,A,Sample X4,3
D,4,A,Sample X4,3
E,4,B,Sample X4,11
F,4,B,Sample X4,8
G,4,B,Sample X4,7
H,4,A,Blank B,1
A,5,A,Blank B,5
B,5,A,Sample X5,484
C,5,A,Sample X5,392
D,5,A,Sample X5,458
E,5,B,Sample X5,2162
F,5,B,Sample X5,2992
G,5,B,Sample X5,3956
H,5,A,Blank B,4
A,6,A,Blank B,4
B,6,A,Sample X6,31
C,6,A,Sample X6,19
D,6,A,Sample X6,35
E,6,B,Sample X6,1731
F,6,B,Sample X6,1729
G,6,B,Sample X6,1798
H,6,A,Blank B,8
A,7,A,Blank B,6
B,7,A,Sample X7,22
C,7,A,Sample X7,32
D,7,A,Sample X7,20
E,7,B,Sample X7,634
F,7,B,Sample X7,741
G,7,B,Sample X7,1428
H,7,A,Blank B,4
A,8,A,Blank B,8
B,8,A,Sample X8,23
C,8,A,Sample X8,18
D,8,A,Sample X8,12
E,8,B,Sample X8,136
F,8,B,Sample X8,243
G,8,B,Sample X8,366
H,8,A,Blank B,3
A,9,A,Blank B,3
B,9,A,Sample X9,22
C,9,A,Sample X9,21
D,9,A,Sample X9,32
E,9,B,Sample X9,65
F,9,B,Sample X9,45
G,9,B,Sample X9,45
H,9,A,Blank B,2
A,10,A,Blank B,2
B,10,A,Sample X10,31
C,10,A,Sample X10,34
D,10,A,Sample X10,22
E,10,B,Sample X10,23
F,10,B,Sample X10,25
G,10,B,Sample X10,23
H,10,A,Blank B,2
A,11,A,Blank B,3
B,11,B,Standard S1,1842
C,11,B,Standard S1,1967
D,11,B,Standard S1,1744
E,11,B,Standard S3,7782
F,11,B,Standard S3,4109
G,11,B,Standard S3,4329
H,11,A,Blank B,1
A,12,A,Blank B,5
B,12,B,Standard S2,4813
C,12,B,Standard S2,5106
D,12,B,Standard S2,4614
E,12,B,Standard S4,8225
F,12,B,Standard S4,6555
G,12,B,Standard S4,6572
H,12,A,Blank B,4
