User: USER,,,,
Path: C:\Program Files (x86)\BMG\Omega\User\Data\,,,,
Test ID: 152,,,,
Test Name: CDI,,,,
Date: 31/03/2021,,,,
Time: 16:54:04,,,,
Time resolved fluorescence (TRF),,,,
,,,,
,,,,
"Well
Row","Well
Col",Group,Content, Raw Data (TREX/615-10)
A,1,A,Blank B,6
B,1,A,Sample X1,13
C,1,A,Sample X1,11
D,1,A,Sample X1,11
E,1,B,Sample X1,154
F,1,B,Sample X1,192
G,1,B,Sample X1,162
H,1,A,Blank B,4
A,2,A,Blank B,3
B,2,A,Sample X2,10
C,2,A,Sample X2,6
D,2,A,Sample X2,13
E,2,B,Sample X2,26
F,2,B,Sample X2,32
G,2,B,Sample X2,33
H,2,A,Blank B,2
A,3,A,Blank B,5
B,3,A,Sample X3,7395
C,3,A,Sample X3,8301
D,3,A,Sample X3,8321
E,3,B,Sample X3,7141
F,3,B,Sample X3,7270
G,3,B,Sample X3,7957
H,3,A,Blank B,6
A,4,A,Blank B,5
B,4,A,Sample X4,25
C,4,A,Sample X4,27
D,4,A,Sample X4,23
E,4,B,Sample X4,270
F,4,B,Sample X4,278
G,4,B,Sample X4,257
H,4,A,Blank B,2
A,5,A,Blank B,7
B,5,A,Sample X5,15
C,5,A,Sample X5,14
D,5,A,Sample X5,13
E,5,B,Sample X5,93
F,5,B,Sample X5,135
G,5,B,Sample X5,236
H,5,A,Blank B,7
A,6,A,Blank B,5
B,6,A,Sample X6,14
C,6,A,Sample X6,7
D,6,A,Sample X6,10
E,6,B,Sample X6,73
F,6,B,Sample X6,90
G,6,B,Sample X6,160
H,6,A,Blank B,10
A,7,A,Blank B,5
B,7,A,Sample X7,5
C,7,A,Sample X7,6
D,7,A,Sample X7,11
E,7,B,Sample X7,58
F,7,B,Sample X7,66
G,7,B,Sample X7,91
H,7,A,Blank B,6
A,8,A,Blank B,4
B,8,A,Sample X8,8
C,8,A,Sample X8,9
D,8,A,Sample X8,5
E,8,B,Sample X8,20
F,8,B,Sample X8,9
G,8,B,Sample X8,26
H,8,A,Blank B,4
A,9,A,Blank B,6
B,9,A,Sample X9,5814
C,9,A,Sample X9,8387
D,9,A,Sample X9,5536
E,9,B,Sample X9,6222
F,9,B,Sample X9,6478
G,9,B,Sample X9,10103
H,9,A,Blank B,5
A,10,A,Blank B,2
B,10,A,Sample X10,20
C,10,A,Sample X10,16
D,10,A,Sample X10,23
E,10,B,Sample X10,21
F,10,B,Sample X10,39
G,10,B,Sample X10,72
H,10,A,Blank B,8
A,11,A,Blank B,5
B,11,B,Standard S1,5956
C,11,B,Standard S1,2664
D,11,B,Standard S1,2885
E,11,B,Standard S3,6816
F,11,B,Standard S3,6402
G,11,B,Standard S3,9173
H,11,A,Blank B,10
A,12,A,Blank B,5
B,12,B,Standard S2,16405
C,12,B,Standard S2,8600
D,12,B,Standard S2,9256
E,12,B,Standard S4,10574
F,12,B,Standard S4,11920
G,12,B,Standard S4,15750
H,12,A,Blank B,4
