User: USER,,,,
Path: C:\Program Files (x86)\BMG\Omega\User\Data\,,,,
Test ID: 155,,,,
Test Name: CDI,,,,
Date: 07/04/2021,,,,
Time: 16:45:06,,,,
Time resolved fluorescence (TRF),,,,
,,,,
,,,,
"Well
Row","Well
Col",Group,Content, Raw Data (TREX/615-10)
A,1,A,Blank B,1
B,1,A,Sample X1,12
C,1,A,Sample X1,11
D,1,A,Sample X1,16
E,1,B,Sample X1,4319
F,1,B,Sample X1,4230
G,1,B,Sample X1,4260
H,1,A,Blank B,3
A,2,A,Blank B,4
B,2,A,Sample X2,4
C,2,A,Sample X2,4
D,2,A,Sample X2,4
E,2,B,Sample X2,160
F,2,B,Sample X2,176
G,2,B,Sample X2,83
H,2,A,Blank B,3
A,3,A,Blank B,4
B,3,A,Sample X3,7204
C,3,A,Sample X3,6205
D,3,A,Sample X3,6473
E,3,B,Sample X3,8234
F,3,B,Sample X3,8531
G,3,B,Sample X3,8447
H,3,A,Blank B,5
A,4,A,Blank B,2
B,4,A,Sample X4,76
C,4,A,Sample X4,73
D,4,A,Sample X4,62
E,4,B,Sample X4,6352
F,4,B,Sample X4,5264
G,4,B,Sample X4,5719
H,4,A,Blank B,3
A,5,A,Blank B,3
B,5,A,Sample X5,25
C,5,A,Sample X5,31
D,5,A,Sample X5,13
E,5,B,Sample X5,5114
F,5,B,Sample X5,5537
G,5,B,Sample X5,4558
H,5,A,Blank B,0
A,6,A,Blank B,4
B,6,A,Sample X6,14
C,6,A,Sample X6,14
D,6,A,Sample X6,22
E,6,B,Sample X6,3499
F,6,B,Sample X6,3354
G,6,B,Sample X6,3455
H,6,A,Blank B,4
A,7,A,Blank B,1
B,7,A,Sample X7,16
C,7,A,Sample X7,19
D,7,A,Sample X7,9
E,7,B,Sample X7,1927
F,7,B,Sample X7,2231
G,7,B,Sample X7,2404
H,7,A,Blank B,1
A,8,A,Blank B,3
B,8,A,Sample X8,10
C,8,A,Sample X8,3
D,8,A,Sample X8,5
E,8,B,Sample X8,165
F,8,B,Sample X8,160
G,8,B,Sample X8,188
H,8,A,Blank B,4
A,9,A,Blank B,4
B,9,A,Sample X9,4329
C,9,A,Sample X9,3982
D,9,A,Sample X9,3065
E,9,B,Sample X9,2697
F,9,B,Sample X9,3563
G,9,B,Sample X9,3116
H,9,A,Blank B,0
A,10,A,Blank B,3
B,10,A,Sample X10,8
C,10,A,Sample X10,9
D,10,A,Sample X10,3
E,10,B,Sample X10,76
F,10,B,Sample X10,88
G,10,B,Sample X10,85
H,10,A,Blank B,3
A,11,A,Blank B,4
B,11,B,Standard S1,2341
C,11,B,Standard S1,1232
D,11,B,Standard S1,1220
E,11,B,Standard S3,3576
F,11,B,Standard S3,3437
G,11,B,Standard S3,4809
H,11,A,Blank B,1
A,12,A,Blank B,2
B,12,B,Standard S2,5516
C,12,B,Standard S2,4731
D,12,B,Standard S2,4962
E,12,B,Standard S4,5720
F,12,B,Standard S4,6510
G,12,B,Standard S4,8420
H,12,A,Blank B,1
