User: USER,,,,
Path: C:\Program Files (x86)\BMG\Omega\User\Data\,,,,
Test ID: 151,,,,
Test Name: CDI,,,,
Date: 31/03/2021,,,,
Time: 16:47:19,,,,
Time resolved fluorescence (TRF),,,,
,,,,
,,,,
"Well
Row","Well
Col",Group,Content, Raw Data (TREX/615-10)
A,1,A,Blank B,8
B,1,A,Sample X1,3989
C,1,A,Sample X1,2757
D,1,A,Sample X1,2188
E,1,B,Sample X1,2152
F,1,B,Sample X1,2998
G,1,B,Sample X1,2661
H,1,A,Blank B,9
A,2,A,Blank B,8
B,2,A,Sample X2,7
C,2,A,Sample X2,39
D,2,A,Sample X2,12
E,2,B,Sample X2,127
F,2,B,Sample X2,62
G,2,B,Sample X2,85
H,2,A,Blank B,10
A,3,A,Blank B,5
B,3,A,Sample X3,8
C,3,A,Sample X3,15
D,3,A,Sample X3,14
E,3,B,Sample X3,36
F,3,B,Sample X3,34
G,3,B,Sample X3,52
H,3,A,Blank B,6
A,4,A,Blank B,8
B,4,A,Sample X4,10
C,4,A,Sample X4,12
D,4,A,Sample X4,15
E,4,B,Sample X4,33
F,4,B,Sample X4,46
G,4,B,Sample X4,32
H,4,A,Blank B,4
A,5,A,Blank B,7
B,5,A,Sample X5,20
C,5,A,Sample X5,21
D,5,A,Sample X5,18
E,5,B,Sample X5,33
F,5,B,Sample X5,24
G,5,B,Sample X5,28
H,5,A,Blank B,7
A,6,A,Blank B,14
B,6,A,Sample X6,23
C,6,A,Sample X6,18
D,6,A,Sample X6,19
E,6,B,Sample X6,19
F,6,B,Sample X6,20
G,6,B,Sample X6,19
H,6,A,Blank B,8
A,7,A,Blank B,5
B,7,A,Sample X7,3655
C,7,A,Sample X7,3932
D,7,A,Sample X7,4489
E,7,B,Sample X7,4039
F,7,B,Sample X7,6303
G,7,B,Sample X7,5216
H,7,A,Blank B,6
A,8,A,Blank B,9
B,8,A,Sample X8,51
C,8,A,Sample X8,24
D,8,A,Sample X8,23
E,8,B,Sample X8,116
F,8,B,Sample X8,161
G,8,B,Sample X8,217
H,8,A,Blank B,6
A,9,A,Blank B,6
B,9,A,Sample X9,73
C,9,A,Sample X9,14
D,9,A,Sample X9,21
E,9,B,Sample X9,76
F,9,B,Sample X9,80
G,9,B,Sample X9,120
H,9,A,Blank B,9
A,10,A,Blank B,3
B,10,A,Sample X10,137
C,10,A,Sample X10,21
D,10,A,Sample X10,22
E,10,B,Sample X10,65
F,10,B,Sample X10,57
G,10,B,Sample X10,171
H,10,A,Blank B,9
A,11,A,Blank B,12
B,11,B,Standard S1,1396
C,11,B,Standard S1,866
D,11,B,Standard S1,1480
E,11,B,Standard S3,4684
F,11,B,Standard S3,5378
G,11,B,Standard S3,5295
H,11,A,Blank B,10
A,12,A,Blank B,4
B,12,B,Standard S2,7956
C,12,B,Standard S2,5964
D,12,B,Standard S2,5126
E,12,B,Standard S4,8165
F,12,B,Standard S4,7547
G,12,B,Standard S4,12795
H,12,A,Blank B,9
